date,trend
2010-09-01,[9082.766509]
2010-09-02,[9083.741097]
2010-09-03,[9084.718142]
2010-09-04,[9085.697648]
2010-09-05,[9086.679615]
2010-09-06,[9087.664045]
2010-09-07,[9088.65094]
2010-09-08,[9089.640303]
2010-09-09,[9090.632134]
2010-09-10,[9091.626436]
2010-09-11,[9092.62321]
2010-09-12,[9093.622459]
2010-09-13,[9094.624183]
2010-09-14,[9095.628385]
2010-09-15,[9096.635067]
2010-09-16,[9097.644231]
2010-09-17,[9098.655877]
2010-09-18,[9099.670009]
2010-09-19,[9100.686628]
2010-09-20,[9101.705735]
2010-09-21,[9102.727333]
2010-09-22,[9103.751423]
2010-09-23,[9104.778008]
2010-09-24,[9105.807088]
2010-09-25,[9106.838666]
2010-09-26,[9107.872744]
2010-09-27,[9108.909323]
2010-09-28,[9109.948405]
2010-09-29,[9110.989993]
2010-09-30,[9112.034087]
