date,load
7/2/2015,77437
7/2/2015,72863
7/2/2015,69862
7/2/2015,67951
7/2/2015,67153
7/2/2015,68405
7/2/2015,71204
7/2/2015,75033
7/2/2015,78999
7/2/2015,82401
7/2/2015,85489
7/2/2015,88452
7/2/2015,90991
7/2/2015,93456
7/2/2015,95601
7/2/2015,97046
7/2/2015,97627
7/2/2015,97675
7/2/2015,96420
7/2/2015,93971
7/2/2015,91118
7/2/2015,89650
7/2/2015,87493
7/2/2015,81759
7/3/2015,75509
7/3/2015,70928
7/3/2015,67829
7/3/2015,65731
7/3/2015,64468
7/3/2015,64617
7/3/2015,65541
7/3/2015,66816
7/3/2015,70175
7/3/2015,75011
7/3/2015,79584
7/3/2015,83066
7/3/2015,85636
7/3/2015,87807
7/3/2015,89648
7/3/2015,90947
7/3/2015,91958
7/3/2015,92516
7/3/2015,92032
7/3/2015,89891
7/3/2015,86886
7/3/2015,85254
7/3/2015,83291
7/3/2015,78879
7/4/2015,73880
7/4/2015,69170
7/4/2015,65909
7/4/2015,63747
7/4/2015,62427
7/4/2015,61990
7/4/2015,61749
7/4/2015,61924
7/4/2015,65173
7/4/2015,70371
7/4/2015,75670
7/4/2015,80105
7/4/2015,83562
7/4/2015,85799
7/4/2015,87258
7/4/2015,88461
7/4/2015,89592
7/4/2015,90115
7/4/2015,89556
7/4/2015,87362
7/4/2015,84060
7/4/2015,81616
7/4/2015,79465
7/4/2015,76962
7/5/2015,73499
7/5/2015,69123
7/5/2015,65684
7/5/2015,63407
7/5/2015,62006
7/5/2015,61741
7/5/2015,61426
7/5/2015,61889
7/5/2015,65234
7/5/2015,70541
7/5/2015,76446
7/5/2015,81560
7/5/2015,86259
7/5/2015,90197
7/5/2015,93245
7/5/2015,95468
7/5/2015,97478
7/5/2015,98745
7/5/2015,98773
7/5/2015,97116
7/5/2015,94393
7/5/2015,93023
7/5/2015,90712
7/5/2015,84847
7/6/2015,78546
7/6/2015,73890
7/6/2015,70589
7/6/2015,68627
7/6/2015,68070
7/6/2015,69453
7/6/2015,72763
7/6/2015,77737
7/6/2015,83383
7/6/2015,88690
7/6/2015,93981
7/6/2015,99120
7/6/2015,103833
7/6/2015,107512
7/6/2015,110262
7/6/2015,111839
7/6/2015,112499
7/6/2015,112783
7/6/2015,111767
7/6/2015,109311
7/6/2015,105673
7/6/2015,103647
7/6/2015,100323
7/6/2015,93076
7/7/2015,86034
7/7/2015,80824
7/7/2015,77258
7/7/2015,75037
7/7/2015,74129
7/7/2015,75144
7/7/2015,78335
7/7/2015,82385
7/7/2015,86842
7/7/2015,90765
7/7/2015,93967
7/7/2015,97057
7/7/2015,98746
7/7/2015,99626
7/7/2015,100269
7/7/2015,99832
7/7/2015,99402
7/7/2015,98749
7/7/2015,96977
7/7/2015,94756
7/7/2015,92471
7/7/2015,91560
7/7/2015,89363
7/7/2015,83322
7/8/2015,77171
7/8/2015,72925
7/8/2015,70227
7/8/2015,68448
7/8/2015,67878
7/8/2015,68970
7/8/2015,72026
7/8/2015,75985
7/8/2015,80518
7/8/2015,84230
7/8/2015,87774
7/8/2015,90355
7/8/2015,92526
7/8/2015,94401
7/8/2015,95930
7/8/2015,96277
7/8/2015,96020
7/8/2015,95956
7/8/2015,95334
7/8/2015,93915
7/8/2015,91916
7/8/2015,91451
7/8/2015,89410
7/8/2015,83755
7/9/2015,78238
7/9/2015,73926
7/9/2015,71250
7/9/2015,69507
7/9/2015,68835
7/9/2015,69973
7/9/2015,73409
7/9/2015,77383
7/9/2015,81700
7/9/2015,85628
7/9/2015,89224
7/9/2015,92748
7/9/2015,95552
7/9/2015,98083
7/9/2015,100416
7/9/2015,101715
7/9/2015,102551
7/9/2015,103118
7/9/2015,102139
7/9/2015,100017
7/9/2015,97491
7/9/2015,96180
7/9/2015,93680
7/9/2015,87363
7/10/2015,80766
7/10/2015,75865
7/10/2015,72397
7/10/2015,70305
7/10/2015,69573
7/10/2015,70541
7/10/2015,73469
7/10/2015,77469
7/10/2015,82450
7/10/2015,87564
7/10/2015,92232
7/10/2015,96722
7/10/2015,100181
7/10/2015,103080
7/10/2015,105469
7/10/2015,106781
7/10/2015,107510
7/10/2015,107379
7/10/2015,106108
7/10/2015,103649
7/10/2015,99944
7/10/2015,97737
7/10/2015,95245
7/10/2015,88978
7/11/2015,82316
7/11/2015,76903
7/11/2015,72889
7/11/2015,70402
7/11/2015,68767
7/11/2015,68548
7/11/2015,68868
7/11/2015,70034
7/11/2015,74298
7/11/2015,80461
7/11/2015,86703
7/11/2015,92067
7/11/2015,96248
7/11/2015,99288
7/11/2015,101784
7/11/2015,103467
7/11/2015,104678
7/11/2015,105107
7/11/2015,104810
7/11/2015,103044
7/11/2015,100015
7/11/2015,97998
7/11/2015,95719
7/11/2015,89981
7/12/2015,83871
7/12/2015,78797
7/12/2015,74957
7/12/2015,72274
7/12/2015,70516
7/12/2015,69713
7/12/2015,69469
7/12/2015,69689
7/12/2015,73877
7/12/2015,80646
7/12/2015,87193
7/12/2015,93152
7/12/2015,98409
7/12/2015,102802
7/12/2015,106271
7/12/2015,108904
7/12/2015,111202
7/12/2015,112870
7/12/2015,113687
7/12/2015,112595
7/12/2015,109427
7/12/2015,107073
7/12/2015,104245
7/12/2015,97067
7/13/2015,89327
7/13/2015,83638
7/13/2015,79680
7/13/2015,77046
7/13/2015,76107
7/13/2015,77070
7/13/2015,80182
7/13/2015,84738
7/13/2015,90907
7/13/2015,97204
7/13/2015,102975
7/13/2015,108409
7/13/2015,113210
7/13/2015,116463
7/13/2015,118945
7/13/2015,120704
7/13/2015,122187
7/13/2015,123397
7/13/2015,123209
7/13/2015,121243
7/13/2015,117666
7/13/2015,114724
7/13/2015,110211
7/13/2015,101798
7/14/2015,93673
7/14/2015,87630
7/14/2015,83289
7/14/2015,80504
7/14/2015,78935
7/14/2015,79711
7/14/2015,82658
7/14/2015,86918
7/14/2015,93130
7/14/2015,99060
7/14/2015,104546
7/14/2015,109894
7/14/2015,114176
7/14/2015,117422
7/14/2015,120040
7/14/2015,121332
7/14/2015,121783
7/14/2015,121281
7/14/2015,119640
7/14/2015,116419
7/14/2015,111897
7/14/2015,108665
7/14/2015,105050
7/14/2015,96908
7/15/2015,88778
7/15/2015,82943
7/15/2015,78749
7/15/2015,75902
7/15/2015,74533
7/15/2015,74871
