date,avg_load
12/1/2015,78053.08333
12/2/2015,80366.625
12/3/2015,81614.33333
12/4/2015,81098.83333
12/5/2015,75693.375
12/6/2015,73224.54167
12/7/2015,78814.29167
12/8/2015,78755.29167
12/9/2015,76839.70833
12/10/2015,76529.45833
12/11/2015,75460.95833
12/12/2015,69372.08333
12/13/2015,68576.58333
12/14/2015,75891.79167
12/15/2015,78293.625
12/16/2015,78535.91667
12/17/2015,82040.625
12/18/2015,84570.83333
12/19/2015,80387.875
12/20/2015,75779.5
12/21/2015,77736.66667
12/22/2015,77116.875
12/23/2015,75074.75
12/24/2015,69327.16667
12/25/2015,66120.20833
12/26/2015,69412.75
12/27/2015,72018.29167
12/28/2015,79074.25
12/29/2015,79807.95833
12/30/2015,79339.66667
12/31/2015,78144.45833
1/1/2016,76098.75
1/2/2016,76326.04167
1/3/2016,76450.25
1/4/2016,85739.625
1/5/2016,88363
1/6/2016,85284.08333
1/7/2016,81114.25
1/8/2016,77809.41667
1/9/2016,76080.41667
1/10/2016,84996.79167
1/11/2016,93211.33333
1/12/2016,90254.16667
1/13/2016,90398.25
1/14/2016,83234.16667
1/15/2016,80063.875
1/16/2016,80661.04167
1/17/2016,84903.41667
1/18/2016,95460.33333
1/19/2016,94724.45833
1/20/2016,89431.91667
1/21/2016,88318.70833
1/22/2016,89711.125
1/23/2016,84150.41667
1/24/2016,81197.08333
1/25/2016,82017.79167
1/26/2016,83142.08333
1/27/2016,85715.91667
1/28/2016,83389.04167
1/29/2016,80514.875
1/30/2016,71575.625
1/31/2016,67734.70833
2/1/2016,75761.125
2/2/2016,78235.5
2/3/2016,79429.125
2/4/2016,84408.5
2/5/2016,84305.33333
2/6/2016,76995.625
2/7/2016,73793.45833
2/8/2016,84228.875
2/9/2016,89735.79167
2/10/2016,90575.125
2/11/2016,86985.16667
2/12/2016,84938.875
2/13/2016,83478.45833
2/14/2016,81860.75
2/15/2016,82536.29167
2/16/2016,81753.45833
2/17/2016,80783.29167
2/18/2016,80029.79167
2/19/2016,74406
2/20/2016,67461.29167
2/21/2016,67242.16667
2/22/2016,75891.29167
2/23/2016,77727.79167
2/24/2016,80911.45833
2/25/2016,81932.95833
2/26/2016,80099.04167
2/27/2016,72088.66667
2/28/2016,67946.33333
2/29/2016,74877.95833
12/1/2016,80018.04167
12/2/2016,79675.08333
12/3/2016,75866.91667
12/4/2016,74744.08333
12/5/2016,80921.75
12/6/2016,82092.20833
12/7/2016,84775.625
12/8/2016,89620.95833
12/9/2016,91483.70833
12/10/2016,86155.79167
12/11/2016,80308.33333
12/12/2016,84142.45833
12/13/2016,87400.16667
12/14/2016,91336.875
12/15/2016,95647.875
12/16/2016,92830.41667
12/17/2016,82483.875
12/18/2016,89757.54167
12/19/2016,99494.25
12/20/2016,94033.45833
12/21/2016,87364.79167
12/22/2016,84523.25
12/23/2016,79584
12/24/2016,71229.25
12/25/2016,68323.5
12/26/2016,69743.04167
12/27/2016,77821.125
12/28/2016,79456.875
12/29/2016,78824.08333
12/30/2016,79695.16667
12/31/2016,74415.66667
1/1/2017,71177.625
1/2/2017,72845.70833
1/3/2017,79195.83333
1/4/2017,88928.08333
1/5/2017,93106.83333
1/6/2017,98998.08333
1/7/2017,96774.41667
1/8/2017,93499.04167
1/9/2017,91937.54167
1/10/2017,83187.66667
1/11/2017,81834.625
1/12/2017,81960.5
1/13/2017,85540.70833
1/14/2017,78596.25
1/15/2017,75827.08333
1/16/2017,79648.25
1/17/2017,79383.25
