date,electric,temperature
2015/12/1,0.678895261,1.22
2015/12/2,0.703539737,3.5
2015/12/3,0.729017321,2.39
2015/12/4,0.749554384,3.72
2015/12/5,0.726547061,2.89
2015/12/6,0.697349556,5.5
2015/12/7,0.669130468,9
2015/12/8,0.705903437,10
2015/12/9,0.685172628,9.5
2015/12/10,0.675756578,12.94
2015/12/11,0.672298214,15.39
2015/12/12,0.648399659,13.61
2015/12/13,0.634614639,6.22
2015/12/14,0.630051924,7.28
2015/12/15,0.689415662,1.61
2015/12/16,0.694462743,-1.22
2015/12/17,0.713391715,-3.72
2015/12/18,0.760675398,3.22
2015/12/19,0.780854032,8.78
2015/12/20,0.738123377,5.33
2015/12/21,0.676095633,10.33
2015/12/22,0.689192855,6.22
2015/12/23,0.683952029,5.11
2015/12/24,0.655781377,5.33
2015/12/25,0.630730034,5.11
2015/12/26,0.622147092,1.89
2015/12/27,0.656168869,1.94
2015/12/28,0.690268144,-1.06
2015/12/29,0.712917038,-2.39
2015/12/30,0.716404464,-3.72
2015/12/31,0.719145968,-1.89
2016/1/1,0.719630333,-1.78
2016/1/2,0.720724997,-1.94
2016/1/3,0.722894951,-2.5
2016/1/4,0.735149378,-0.5
2016/1/5,0.797913357,3.67
2016/1/6,0.783469601,5.5
2016/1/7,0.729317627,4.72
2016/1/8,0.701389158,-6.33
2016/1/9,0.687458829,-13.17
2016/1/10,0.744294184,-8.78
2016/1/11,0.842949587,-12.78
2016/1/12,0.812812415,1.06
2016/1/13,0.836701283,5.06
2016/1/14,0.778286899,-0.89
2016/1/15,0.71448638,-12.44
2016/1/16,0.736873716,-16.22
2016/1/17,0.764453443,-13.28
2016/1/18,0.847144186,-7.33
2016/1/19,0.874491417,-5.94
2016/1/20,0.817927307,-2.61
2016/1/21,0.788971984,-1.11
2016/1/22,0.790076336,-1.61
2016/1/23,0.814294571,1.28
2016/1/24,0.785310187,0.83
2016/1/25,0.729123881,-1.61
2016/1/26,0.7064653,2.06
2016/1/27,0.76492812,-0.83
2016/1/28,0.769142093,4.39
2016/1/29,0.741126439,7
2016/1/30,0.699936064,2.83
2016/1/31,0.625498896,2.83
2016/2/1,0.635593056,2.94
2016/2/2,0.694501492,-2.17
2016/2/3,0.679360251,-0.83
2016/2/4,0.744555741,0.17
2016/2/5,0.77964312,4.33
2016/2/6,0.750774984,0.22
2016/2/7,0.708121827,-6.44
2016/2/8,0.69056845,-9.33
2016/2/9,0.794687488,-9.22
2016/2/10,0.824156237,-6.11
2016/2/11,0.809034371,-11.39
2016/2/12,0.767814934,-9
2016/2/13,0.791606928,-5.28
2016/2/14,0.779759368,-1.56
2016/2/15,0.73754214,-0.67
2016/2/16,0.734335645,0.28
2016/2/17,0.723224319,10.11
2016/2/18,0.727389855,10.67
2016/2/19,0.691856861,5.28
2016/2/20,0.638005192,2.61
2016/2/21,0.6158891,3.28
2016/2/22,0.639681094,2.44
2016/2/23,0.687148836,1.33
2016/2/24,0.697901732,0.39
2016/2/25,0.732882551,3.39
2016/2/26,0.733124734,11.22
2016/2/27,0.717286008,5.61
2016/2/28,0.64599721,-1.22
2016/2/29,0.623435502,-4.89
2016/12/1,0.708393072,1.39
2016/12/2,0.727564227,0.56
2016/12/3,0.703452552,0.78
2016/12/4,0.694046189,1.22
2016/12/5,0.687594451,-2.17
2016/12/6,0.722168404,-5.39
2016/12/7,0.755114891,-4.56
2016/12/8,0.775496958,-5.56
2016/12/9,0.841109001,-2.44
2016/12/10,0.8305886,-2.78
2016/12/11,0.777899407,-7.56
2016/12/12,0.719010346,-11.28
2016/12/13,0.778432208,-14.56
2016/12/14,0.818227613,-9.78
2016/12/15,0.860192971,-4.94
2016/12/16,0.873842368,-10.33
2016/12/17,0.78437052,-16.56
2016/12/18,0.79553997,-6.11
2016/12/19,0.898312473,-2.17
2016/12/20,0.912882164,2
2016/12/21,0.824049676,0.11
2016/12/22,0.771525168,2.11
2016/12/23,0.744420119,1.22
2016/12/24,0.692728717,8.56
2016/12/25,0.648942147,-1.17
2016/12/26,0.620374317,0.39
2016/12/27,0.67048669,1.67
2016/12/28,0.73152633,-0.61
2016/12/29,0.707550277,3
2016/12/30,0.736515287,-1.17
2016/12/31,0.719020033,2.28
2017/1/1,0.690675011,4.61
2017/1/2,0.657563839,-7.17
2017/1/3,0.663337467,-11.72
2017/1/4,0.767592126,-14.5
2017/1/5,0.829251753,-13.17
2017/1/6,0.865307862,-11.72
2017/1/7,0.939183167,-4.94
2017/1/8,0.89789592,4.33
2017/1/9,0.849837253,1.06
2017/1/10,0.769151781,-2
2017/1/11,0.733938466,-5.06
2017/1/12,0.706542798,-1.06
2017/1/13,0.763940016,-2.17
2017/1/14,0.750164684,1.28
2017/1/15,0.716472275,2.61
2017/1/16,0.700730422,0.89
2017/1/17,0.703917542,2
2017/1/18,0.711909559,3.72
2017/1/19,0.713672647,9.78
2017/1/20,0.681878948,6.61
2017/1/21,0.660886581,4.83
2017/1/22,0.625760453,3.56
2017/1/23,0.639729531,3.83
2017/1/24,0.715319487,1.28
2017/1/25,0.695809277,-1.67
2017/1/26,0.72025032,-2.39
2017/1/27,0.766516837,-2.44
2017/1/28,0.761750688,-4.39
2017/1/29,0.713847018,3.44
2017/1/30,0.721228736,2.17
2017/1/31,0.725859263,-5.56
2017/2/1,0.700381679,-6.28
2017/2/2,0.727457667,-4.39
2017/2/3,0.772174216,1.11
2017/2/4,0.781716201,2.94
2017/2/5,0.714660751,7.78
2017/2/6,0.678672453,0.11
