,mape
2010/5/1,1.287456219
2010/5/2,0.971953533
2010/5/3,1.069432661
2010/5/4,0.709737043
2010/5/5,2.287602179
2010/5/6,2.486736524
2010/5/7,1.311865992
2010/5/8,1.429121861
2010/5/9,1.521034326
2010/5/10,1.140365951
2010/5/11,1.10443035
2010/5/12,3.822757169
2010/5/13,1.369278624
2010/5/14,1.361634643
2010/5/15,1.380199183
2010/5/16,1.768097371
2010/5/17,2.551285631
2010/5/18,1.812181573
2010/5/19,0.889925626
2010/5/20,0.441236318
2010/5/21,1.129616242
2010/5/22,1.742869545
2010/5/23,2.956434935
2010/5/24,1.933563332
2010/5/25,1.721732158
2010/5/26,2.689216498
2010/5/27,0.855231111
2010/5/28,1.505518461
2010/5/29,2.90621214
2010/5/30,3.667288292
2010/5/31,2.605099058
