date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010/5/1,8444.624023,8248.105469,8052.843262,7835.737305,7544.71875,7182.736328,6870.697754,6646.839355,6504.693359,6449.295898,6458.549316,6563.76416,6686.279785,6941.851074,7242,7584.771484,8037.586914,8429.113281,8675.177734,8923.814453,8908.875977,8916.992188,8837.292969,8761.978516,8689.951172,8604.449219,8541.089844,8446.397461,8366.702148,8301.808594,8280.415039,8245.038086,8279.84082,8331.728516,8452.248047,8540.830078,8893.014648,9091.429688,9080.355469,8890.1875,8690.206055,8517.84375,8388.257813,8223.881836,8066.497559,8129.368652,8047.540527,8007.602051
2010/5/2,7785.173828,7574.828125,7387.728027,7210.914063,7008.579102,6695.513184,6458.677246,6301.260254,6222.410156,6181.89502,6198.685059,6252.355957,6311.010742,6478.562988,6670.027832,6946.188477,7326.977051,7707.503418,7975.12793,8225.161133,8321.900391,8399.691406,8360.005859,8313.569336,8257.950195,8217.179688,8161.499023,8080.814941,8009.899902,7976.567871,7942.376465,7957.328613,7993.838867,8051.201172,8177.012207,8312.232422,8733.513672,9027.295898,9052.125977,8874.527344,8682.948242,8528.673828,8384.513672,8186.867188,7966.272949,7951.765625,7826.48291,7766.791992
2010/5/3,7568.854492,7410.907715,7251.486328,7117.938477,6929.22998,6652.354492,6471.055664,6381.57666,6324.15332,6366.31543,6497.883789,6824.12207,7188.844727,7811.850586,8372.739258,8650.373047,9006.282227,9228.152344,9307.895508,9463.829102,9536.507813,9589.893555,9605.361328,9549.765625,9529.956055,9515.176758,9483.981445,9477.412109,9433.635742,9423.203125,9377.145508,9360.510742,9373.0625,9391.614258,9478.027344,9595.767578,9889.470703,10012.21484,9949.169922,9690.124023,9470.892578,9281.899414,9049.537109,8806.180664,8542.668945,8633.102539,8482.912109,8435.783203
2010/5/4,8270.579102,8123.197266,7944.654785,7783.248047,7569.213867,7180.822754,6872.786133,6661.689941,6557.269043,6537.052246,6605.094238,6865.154297,7196.914063,7864.405762,8460.49707,8708.291016,9062.939453,9238.128906,9289.74707,9451.341797,9504.722656,9565.4375,9590.019531,9554.594727,9548.541992,9533.141602,9517.429688,9496.236328,9497.584961,9466.736328,9406.44043,9379.722656,9397.796875,9416.890625,9470.09082,9567.375977,9851.609375,9991.548828,9916.31543,9644.09082,9402.260742,9221.131836,9024.273438,8746.894531,8489.506836,8610.359375,8462.169922,8415.850586
2010/5/5,8307.013672,8144.221191,7972.900391,7799.471191,7580.887695,7189.078613,6865.894043,6654.456543,6538.124023,6510.989258,6580.522949,6828.62793,7149.90332,7814.994141,8408.023438,8641.708984,9006.609375,9178.540039,9244.004883,9403.995117,9493.426758,9567.386719,9601.726563,9549.793945,9546.543945,9545.578125,9530.19043,9524.823242,9505.349609,9482.013672,9435.386719,9389.797852,9401.617188,9402.019531,9434.591797,9483.598633,9713.47168,9793.515625,9768.018555,9499.040039,9273.864258,9092.549805,8899.916016,8634.250977,8380.835938,8525.883789,8417.526367,8397.861328
2010/5/6,8362.40332,8186.246094,8022.064453,7855.4375,7626.175781,7252.791504,6925.967285,6690.193359,6573.216797,6556.20166,6631.268555,6883.685059,7237.947266,7921.358887,8563.227539,8811.700195,9182.873047,9321.299805,9340.869141,9456.506836,9507.773438,9546.080078,9550.658203,9496.327148,9476.707031,9459.041016,9434.661133,9417.806641,9399.311523,9381.629883,9338.140625,9298.391602,9312.706055,9337.141602,9390.9375,9507.258789,9847.993164,9932.185547,9889.310547,9619.591797,9405.224609,9236.975586,9046.867188,8766.592773,8515.019531,8653.033203,8523.053711,8477.722656
2010/5/7,8543.895508,8387.755859,8225.448242,8058.949219,7818.219727,7441.26123,7118.787598,6867.481934,6742.418945,6720.051758,6794.797363,7088.951172,7474.272949,8228.921875,8920.232422,9199.669922,9535.871094,9636.763672,9572.935547,9626.530273,9632.599609,9634.083008,9597.981445,9509.855469,9472.859375,9426.485352,9380.924805,9363.125,9319.418945,9300.438477,9234.363281,9200.101563,9240.929688,9297.038086,9401.398438,9596.626953,10035.46484,10232.97949,10183.63281,9931.210938,9727.628906,9578.96582,9399.606445,9116.282227,8833.060547,8957.073242,8792.915039,8723.456055
2010/5/8,8456.764648,8262.389648,8059.447266,7866.888672,7578.860352,7213.349121,6912.092773,6664.421875,6524.142578,6448.953613,6477.338379,6557.689941,6677.66748,6937.828125,7235.411621,7580.349121,8020.510254,8419.927734,8660.378906,8920.016602,8888.467773,8912.705078,8831.717773,8739.478516,8640.55957,8560.855469,8487.583984,8408.147461,8328.451172,8245.467773,8212.388672,8207.612305,8234.469727,8310.024414,8456.120117,8567.237305,8932.568359,9166.47168,9129.540039,8911.78125,8709.800781,8551.816406,8437.162109,8279.054688,8099.146973,8154.027344,8062.398438,8032.228027
2010/5/9,7900.779297,7678.641113,7476.421387,7252.725098,7078.627441,6760.337402,6537.502441,6373.010742,6297.141113,6277.303711,6291.329102,6330.429688,6443.328613,6608.433105,6833.282715,7110.479004,7522.616699,7902.01123,8120.336426,8372.131836,8467.741211,8539.222656,8471.3125,8420.523438,8326.579102,8281.597656,8199.987305,8136.355957,8074.448242,8011.973633,8004.849121,7998.719238,8045.621582,8123.894531,8250.633789,8408.141602,8839.764648,9124.836914,9146.889648,8991.06543,8800.951172,8679.195313,8511.333984,8320.125977,8069.339355,8063.215332,7922.333008,7826.54541
2010/5/10,7621.287109,7465.068848,7305.294434,7156.618652,7000.797363,6705.422363,6500.756348,6386.169434,6329.900879,6374.161621,6480.164063,6782.674316,7134.834961,7780.569824,8372.275391,8649.163086,9015.897461,9203.473633,9271.493164,9406.023438,9470.063477,9517.256836,9519.459961,9462.375977,9444.149414,9423.504883,9380.870117,9362.777344,9326.370117,9310.883789,9265.785156,9234.827148,9262.491211,9303.024414,9399.171875,9562.84668,9916.287109,10052.28809,10002.51172,9731.546875,9517.945313,9318.293945,9104.22168,8868.482422,8580.194336,8672.272461,8520.02832,8454.733398
2010/5/11,8321.654297,8167.300293,8000.354492,7834.265137,7616.274902,7255.211914,6918.399414,6707.741699,6577.455566,6561.127441,6637.762207,6907.568848,7268.585938,7960.880371,8596.208984,8851.019531,9211.918945,9342.709961,9369.005859,9489.019531,9526.678711,9567.358398,9576.584961,9531.025391,9505.628906,9499.091797,9486.237305,9458.370117,9436.796875,9427.892578,9367.735352,9336.655273,9358.116211,9401.651367,9460.092773,9621.550781,9978.392578,10085.32715,10011.24219,9737.539063,9504.458008,9345.953125,9130.674805,8853.978516,8591.253906,8720.553711,8551.417969,8511.922852
2010/5/12,8387.72168,8225.682617,8064.540039,7885.76123,7665.952637,7266.475098,6949.102051,6714.773926,6577.96875,6576.692383,6641.470703,6906.11377,7253.686523,7953.816895,8574.429688,8825.532227,9187.354492,9332.151367,9365.650391,9475.698242,9524.492188,9575.799805,9588.216797,9510.09668,9506.961914,9476.032227,9437.349609,9427.12793,9391.866211,9374.557617,9320.960938,9281.992188,9298.507813,9319.481445,9408.470703,9555.942383,9914.439453,9975.147461,9912.008789,9640.240234,9416.009766,9245.611328,9069.785156,8789.216797,8526.94043,8669.115234,8530.886719,8502.357422
2010/5/13,8721.202148,8552.621094,8354.518555,8195.164063,7962.916992,7560.369629,7181.45459,6926.078613,6833.437012,6775.59668,6848.464844,7140.036621,7532.267578,8384.600586,9144.950195,9501.103516,9861.801758,9918.759766,9805.666016,9847.126953,9810.72168,9780.047852,9731.044922,9627.316406,9582.230469,9510.603516,9445.3125,9407.950195,9381.945313,9356.115234,9269.818359,9265.185547,9306.31543,9435.227539,9672.060547,9999.688477,10564.26172,10605.78418,10520.40039,10244.68945,10057.01074,9928.654297,9743.083984,9449.859375,9130.782227,9216.976563,9030.253906,8934.97168
2010/5/14,8799.713867,8614.081055,8455.826172,8285.713867,8047.571289,7649.341797,7308.644043,7049.15625,6907.29834,6861.319336,6933.724609,7241.26123,7681.306641,8505.385742,9284.400391,9630.804688,9982.939453,10031.99023,9888.666992,9892.855469,9857.898438,9810.918945,9738.483398,9635.138672,9575.052734,9519.180664,9463.400391,9425.804688,9390.001953,9344.889648,9291.308594,9260.619141,9311.069336,9402.421875,9602.272461,9976.693359,10511.24805,10627.69629,10547.90918,10323.63184,10135.34668,10009.65137,9817.035156,9521.9375,9216.478516,9306.524414,9113.703125,9015.382813
2010/5/15,8777.791992,8559.400391,8373.086914,8152.376953,7869.888672,7497.031738,7187.311035,6907.092773,6748.061523,6636.596191,6656.324707,6741.489746,6866.547363,7156.61377,7457.988281,7860.883301,8325.256836,8752.173828,9037.15332,9246.199219,9210.111328,9174.922852,9042.476563,8924.404297,8802.875977,8714.09375,8620.892578,8540.151367,8461.577148,8363.762695,8331.085938,8338.154297,8412.762695,8536.555664,8767.209961,9059.28418,9576.630859,9785.431641,9671.651367,9438.068359,9237.762695,9060.030273,8975.166992,8759.515625,8579.532227,8609.902344,8487.668945,8395.475586
2010/5/16,8244.947266,8008.571777,7786.050293,7576.705566,7352.641602,7034.625,6785.23291,6593.181152,6488.947266,6439.346191,6438.672363,6533.618164,6618.096191,6818.208496,7019.944824,7342.683594,7793.055176,8206.941406,8513.132813,8722.572266,8778.863281,8788.182617,8687.831055,8594.999023,8483.475586,8407.841797,8286.699219,8184.581543,8100.641113,8041.436523,8006.941895,8018.85791,8086.912598,8203.207031,8433.905273,8750.878906,9342.885742,9666.240234,9603.9375,9421.561523,9247.936523,9134.87207,9004.460938,8764.783203,8490.892578,8439.174805,8249.730469,8149.945801
2010/5/17,8014.46582,7808.922852,7650.888672,7494.455078,7314.444824,7009.470215,6776.612305,6653.106934,6576.960449,6584.094238,6705.117676,7037.171875,7430.250488,8177.36377,8870.037109,9233.743164,9622.698242,9760.079102,9755.639648,9823.027344,9811.308594,9817.484375,9766.62207,9683.825195,9610.555664,9574.84375,9504.282227,9468.420898,9425.157227,9396.168945,9348.177734,9334.962891,9399.435547,9532.055664,9771.422852,10169.0957,10660.72559,10752.30566,10639.57715,10390.98242,10166.24707,9999.270508,9784.789063,9485.079102,9139.618164,9149.750977,8928.429688,8801.834961
2010/5/18,8815.513672,8635.808594,8469.654297,8298.004883,8058.444824,7647.342285,7324.864746,7062.616211,6910.708984,6882.284668,6943.60498,7250.681152,7690.762207,8518.200195,9306.954102,9674.444336,10070.83105,10147.70605,10025.24316,10040.12305,10002.59375,9947.989258,9896.325195,9780.875977,9717.754883,9649.879883,9583.980469,9565.40332,9509.672852,9498.1875,9425.637695,9412.525391,9486.317383,9651.688477,9919.003906,10427.45898,10936.5127,10953.55078,10843.68848,10573.36621,10368.17578,10231.58789,10027.66797,9720.932617,9387.708008,9447.150391,9208.06543,9068.71875
2010/5/19,8948.570313,8756.452148,8599.240234,8417.424805,8174.376465,7768.336914,7420.359375,7151.615234,7016.616211,6965.992188,7044.348633,7354.062988,7787.15332,8613.990234,9399.013672,9777.079102,10186.16406,10244.37305,10119.96387,10130.3584,10080.45508,10031.15918,9958.172852,9849.52832,9772.554688,9711.401367,9642.518555,9601.892578,9545.865234,9536.900391,9463.868164,9452.994141,9536.921875,9695.132813,9985.980469,10516.20605,11034.90234,11032.05469,10899.30566,10652.03711,10461.1416,10322.0293,10132.09082,9840.881836,9498.564453,9578.599609,9346.223633,9215.270508
2010/5/20,8897.962891,8698.50293,8548.023438,8372.226563,8125.771484,7724.694336,7376.462891,7110.228027,6968.296875,6915.025391,6993.681152,7302.122559,7736.287109,8574.655273,9354.168945,9724.136719,10110.33789,10167.3252,10023.54883,10029.28809,9973.192383,9915.926758,9836.816406,9734.447266,9666.811523,9615.070313,9555.19043,9511.015625,9470.110352,9442.632813,9382.941406,9363.936523,9433.268555,9565.618164,9814.870117,10298.89551,10823.6123,10848.91406,10733.0332,10498.58594,10307.15918,10175.78809,9989.560547,9684.0625,9358.040039,9446.076172,9237.361328,9130.234375
