,mape
2010/11/1,2.854798163
2010/11/2,3.1786353
2010/11/3,1.694734378
2010/11/4,2.651654622
2010/11/5,2.13780934
2010/11/6,3.242956653
2010/11/7,3.114415404
2010/11/8,2.9955606
2010/11/9,1.257024658
2010/11/10,2.723741938
2010/11/11,2.264672793
2010/11/12,2.310122484
2010/11/13,2.951193719
2010/11/14,4.137641557
2010/11/15,4.877986097
2010/11/16,1.580691663
2010/11/17,1.54348367
2010/11/18,2.290871275
2010/11/19,3.352728541
2010/11/20,4.438748504
2010/11/21,2.909443204
2010/11/22,4.021643946
2010/11/23,1.243834309
2010/11/24,2.657877093
2010/11/25,2.302522422
2010/11/26,1.943684431
2010/11/27,1.877269021
2010/11/28,3.677241979
2010/11/29,2.692769904
2010/11/30,2.118917519
