date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010/2/1,7896.831055,7730.032715,7561.998047,7338.808594,7101.444336,6838.26416,6652.425293,6548.330566,6515.967773,6610.34375,6752.305176,7166.581055,7576.666016,8100.449219,8599.571289,8868.1875,9196.299805,9468.222656,9638.585938,9822.825195,9917.080078,9945.688477,10038.8125,10053.52148,10068.07617,10101.82813,10115.11719,10165.41016,10163.45313,10160.50684,10175.88672,10179.90625,10166.61328,10105.80566,10079.79688,9916.581055,9956.59668,9893.410156,9790.754883,9613.146484,9441.125,9209.053711,8924.969727,8758.384766,8523.029297,8565.985352,8405.082031,8298.571289
2010/2/2,8238.472656,7946.977539,7763.773438,7418.82959,7091.260742,6899.500488,6833.394531,6820.602051,6869.842285,7083.296387,7383.57373,7965.348145,8524.043945,8964.023438,9431.374023,9720.294922,9954.873047,10305.15332,10465.12305,10639.98633,10794.5293,10894.80566,10954.51758,11056.67285,11103.05957,11212.49414,11306.30566,11327.06348,11383.18262,11385.21777,11424.2793,11485.22363,11468.89355,11297.24512,11183.34766,10801.48828,10608.79492,10310.91406,10259.11914,10232.63086,10115.03809,9754.860352,9411.613281,9343.112305,9096.988281,8964.826172,8730.615234,8501.72168
2010/2/3,8065.49707,7835.69873,7609.569824,7264.380859,6943.600586,6743.186035,6647.637207,6630.226074,6688.800781,6921.144531,7207.996582,7816.535156,8397.134766,8813.138672,9220.171875,9472.368164,9675.697266,9927.954102,10080.95898,10180.16797,10258.04102,10274.60449,10334.5459,10335.87695,10337.01758,10381.63477,10398.47461,10424.17773,10422.82031,10417.20117,10459.56738,10472.09277,10449.65039,10359.66699,10252.06445,9979.983398,9808.69043,9593.391602,9553.806641,9580.828125,9483.117188,9204.541016,8881.180664,8896.173828,8696.057617,8645.541016,8480.913086,8287.081055
2010/2/4,8069.80127,7853.6875,7613.57959,7280.915527,6968.234375,6788.506836,6698.819824,6693.194336,6756.624512,6972.427734,7257.409668,7870.728027,8457.699219,8875.223633,9280.555664,9530.535156,9745.373047,10036.73438,10189.39941,10316.3584,10411.31348,10444.05859,10518.64355,10561.17188,10596.71094,10649.32324,10705.03516,10739.79199,10740.58691,10724.27539,10783.32129,10773.16602,10729.37207,10579.20996,10449.92188,10129.93945,9969.754883,9757.533203,9706.408203,9686.264648,9535.59668,9229.746094,8892.682617,8893.789063,8681.754883,8629.291992,8448.894531,8235.59668
2010/2/5,8141.662109,7923.271484,7698.118164,7332.975586,7075.178223,6847.063965,6781.993164,6785.54541,6852.818359,7062.902832,7374.421875,7981.633301,8558.786133,8982.552734,9402.345703,9655.588867,9857.612305,10152.11719,10326.59375,10480.83105,10559.23633,10613.89844,10703.51172,10722.97363,10768.94922,10844.21484,10916.46094,10949.86914,10962.07129,10957.65723,10993.76855,11015.55078,10979.65918,10819.50684,10704.22949,10382.82617,10198.28516,9985.734375,9937.810547,9873.427734,9723.150391,9400.357422,9058.566406,9044.108398,8806.833008,8747.798828,8541.540039,8339.59375
2010/2/6,8136.052246,7874.396484,7599.726074,7263.82373,6963.762207,6747.836426,6628.049805,6552.736328,6550.591309,6612.616211,6673.467773,6849.943848,7042.564453,7337.628418,7752.620605,8153.086914,8535.833984,8926.05957,9089.765625,9303.713867,9371.663086,9439.200195,9502.723633,9537.966797,9569.758789,9601.161133,9626.12207,9644.245117,9654.293945,9669.237305,9698.161133,9690.222656,9697.27832,9541.363281,9530.952148,9426.703125,9300.198242,9194.950195,9147.895508,9133.161133,9081.939453,8874,8642.861328,8553.4375,8357.25293,8296.011719,8027.424805,7824.243652
2010/2/7,7607.086914,7400.289063,7201.150879,6925.740723,6668.962402,6490.268555,6349.899902,6287.326172,6245.359863,6291.907227,6316.458984,6404.334961,6513.040039,6743.459473,7094.518555,7492.241699,7854.56543,8215.144531,8461.959961,8668.051758,8702.529297,8748.333984,8773.952148,8778.96875,8769.946289,8748.571289,8736.253906,8709.173828,8744.15918,8763.353516,8773.170898,8807.748047,8839.196289,8787.741211,8864.150391,8867.430664,8900.792969,8886.383789,8915.350586,8899.148438,8842.360352,8637.322266,8383.686523,8266.060547,8089.585449,7991.866699,7788.768555,7612.156738
2010/2/8,7430.497559,7262.579102,7110.720215,6840.019531,6625.962891,6499.20752,6398.434082,6379.028809,6432.421875,6624.418457,6862.768066,7398.977539,7904.395508,8352.507813,8777.302734,9086.110352,9334.888672,9646.489258,9819.396484,9946.521484,10026.02148,10076.53711,10149.00195,10188.07129,10206.35938,10238.44434,10280.7627,10330.53613,10340.66113,10338.4502,10365.37109,10405.85449,10393.85645,10299.25,10220.0166,9968.797852,9810.293945,9619.75,9523.25,9455.003906,9349.719727,9064.408203,8757.50293,8701.569336,8481.866211,8441.697266,8283.063477,8111.288086
2010/2/9,8162.390137,7921.404785,7676.393066,7346.880371,7041.244141,6859.118652,6770.124023,6761.928223,6810.487305,7037.405762,7299.569336,7860.430176,8440.866211,8860.963867,9300.951172,9610.196289,9858.736328,10197.22266,10378.71191,10551.96582,10676.42773,10753.15527,10855.63184,10927.27734,11014.69531,11097.27148,11169.42871,11243.46191,11272.83691,11270.47168,11341.26855,11372.49121,11345.36035,11209.43555,11041.00879,10694.43652,10482.96191,10213.80469,10129.68066,10087.10059,9950.070313,9647.798828,9292.494141,9243.022461,8971.19043,8856.702148,8638.165039,8404.719727
2010/2/10,8235.172852,7991.704102,7734.859375,7387.276367,7090.760742,6896.973633,6813.618652,6804.332031,6861.688965,7075.902344,7333.799805,7911.21875,8477.946289,8928.271484,9392.50293,9725.87207,10004.58105,10329.58301,10523.10156,10698.97852,10821.7666,10893.38965,10994.4082,11072.4375,11136.88672,11225.33691,11291.96484,11346.81152,11361.875,11351.16602,11402.65039,11436.60742,11395.66992,11244.07617,11087.03906,10738.12891,10524.18359,10260.74414,10133.33008,10079.48926,9977.518555,9681.730469,9324.696289,9270.327148,9007.405273,8889.723633,8659.735352,8419.049805
