date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010/8/1,9103.90332,8865.354492,8635.012695,8415.150391,8119.553223,7723.48291,7383.54541,7098.552246,6931.655273,6854.039551,6825.117676,6920.630859,7066.724609,7333.493652,7657.092773,8056.624023,8614.282227,9076.768555,9371.318359,9612.59082,9578.985352,9544.113281,9383.560547,9227.131836,9090.130859,8950.669922,8849.702148,8739.036133,8637.149414,8567.901367,8534.699219,8573.023438,8657.790039,8846.103516,9206.697266,9660.232422,10259.125,10400.70703,10293.95703,10043.70605,9843.369141,9692.844727,9564.212891,9349.646484,9111.225586,9100.311523,8904.510742,8802.816406
2010/8/2,8323.325195,8107.685059,7919.064941,7765.123535,7576.392578,7259.297363,7009.405273,6864.603027,6765.86377,6779.952637,6874.37207,7207.554688,7646.250488,8482.803711,9257.455078,9690.347656,10118.45313,10238.41504,10174.31934,10204.17188,10163.0791,10110.47461,10020.9707,9891.701172,9805.56543,9739.157227,9674.162109,9616.207031,9557.171875,9530.286133,9481.631836,9462.004883,9544.632813,9715.555664,10041.49707,10611.65234,11194.90625,11280.53809,11160.2373,10913.74219,10698.91797,10545.46582,10318.25781,9977.155273,9594.473633,9589.820313,9315.525391,9159.209961
2010/8/3,9479.091797,9257.140625,9060.821289,8892.575195,8653.107422,8230.045898,7870.834473,7567.526367,7399.405762,7325.460449,7393.072266,7722.955078,8208.87207,9118.710938,10004.2998,10490.95605,10997.10938,11097.22852,10956.17676,10933.11328,10820.15234,10711.68555,10585.7373,10426.27246,10298.41602,10210.14648,10109.09082,10058.31152,9980.738281,9945.629883,9884.898438,9873.350586,10002.41504,10252.69727,10665.12793,11341.14941,12003.90918,12106.02344,12013.87891,11778.27539,11585.24219,11442.36914,11211.78418,10839.15234,10395.18945,10350.95117,9996.462891,9770.481445
2010/8/4,9531.609375,9302.712891,9098.302734,8931.106445,8664.349609,8254.987305,7882.964355,7580.554199,7403.432617,7342.837402,7407.848145,7746.09375,8222.803711,9129.802734,9990.297852,10466.75879,10947.9502,11045.4209,10908.62207,10868.26855,10759.17969,10639.01953,10520.90723,10336.72168,10202.66016,10116.92773,10021.2998,9956.349609,9873.363281,9846.582031,9776.930664,9775.347656,9885.045898,10104.45605,10482.19141,11109.63672,11734.04004,11848.23047,11767.40137,11524.64258,11339.11816,11215.41797,10988.65039,10662.93945,10252.26953,10278.9248,9983.833008,9791.757813
2010/8/5,9310.632813,9127.44043,8932.175781,8785.670898,8513.642578,8111.158203,7758.979004,7472.614746,7303.982422,7236.456543,7304.094727,7624.402832,8108.241699,8985.5,9857.573242,10277.00879,10699.13281,10739.48926,10569.50781,10531.37207,10423.88867,10345.52051,10265.96582,10089.02148,10001.59082,9923.001953,9833.230469,9765.691406,9685.795898,9652.297852,9596.541016,9566.833984,9663.860352,9822.325195,10125.19336,10627.00488,11263.05566,11439.27539,11383.83594,11158.41797,10968.2207,10836.03418,10624.63086,10309.38867,9922.599609,9954.602539,9696.254883,9519.219727
2010/8/6,9474.850586,9267.366211,9074.769531,8912.824219,8660.324219,8250.269531,7890.330566,7586.90625,7410.456543,7348.376953,7408.944824,7739.820801,8215.866211,9130.509766,10015.18652,10471.12207,10939.33105,11000.57422,10827.0625,10777.73828,10650.66113,10521.72168,10390.4541,10211.25,10091.6123,9991.991211,9893.338867,9817.206055,9749.907227,9711.1875,9632.640625,9614.240234,9708.458984,9905.222656,10257.24023,10830.7959,11526.01855,11715.70508,11662.56445,11442.40723,11270.43164,11142.42676,10927.25391,10584.25098,10188.17676,10199.89941,9907.87207,9703.5
2010/8/7,9692.985352,9389.574219,9126.496094,8893.363281,8577.962891,8173.585449,7793.635254,7500.384766,7304.127441,7193.515625,7173.797852,7278.086426,7432.084961,7744.223633,8088.585938,8529.907227,9169.616211,9724.117188,10072.85449,10337.72168,10299.50879,10246.25879,10035.4082,9838.989258,9664.697266,9520.888672,9411.123047,9277.141602,9176.254883,9099.46582,9057.168945,9129.728516,9285.006836,9561.232422,10021.57324,10566.26074,11233.21484,11351.43262,11214.94434,10975.12598,10782.95996,10618.31055,10458.09961,10203.93848,9895.412109,9799.334961,9537.833984,9361.40332
2010/8/8,9166.958984,8850.735352,8579.163086,8337.373047,8051.481445,7677.676758,7362.256836,7143.300781,6998.145996,6931.498047,6922.555176,7000.236816,7117.677734,7370.327637,7645.825195,8011.757813,8617.769531,9163.223633,9560.6875,9815.388672,9863.142578,9823.827148,9658.100586,9482.955078,9325.998047,9227.714844,9116.551758,8999.09082,8911.984375,8832.976563,8811.955078,8865.849609,9015.551758,9297.097656,9747.02832,10317.53516,11042.97852,11257.07227,11161.34863,10953.74707,10783.05176,10647.26172,10480.54102,10163.49316,9795.521484,9613.571289,9296.919922,9077.838867
2010/8/9,8745.722656,8502.736328,8296.696289,8127.436523,7927.776367,7599.840332,7333.8125,7169.893066,7069.645996,7070.146484,7175.011719,7529.864746,8014.003906,8920.219727,9776.501953,10284.19336,10800.84668,10928.46582,10829.21484,10819.03125,10718.07129,10612.5166,10472.28906,10292.85059,10173.00488,10081.82031,9992.952148,9920.780273,9846.445313,9794.676758,9753.695313,9740.28418,9841.081055,10057.85156,10455.17578,11130.8291,11820.28516,11936.30273,11845.5791,11607.36816,11410.31836,11262.88867,11026.86035,10654.09961,10201.58203,10141.93164,9801.59082,9595.683594
2010/8/10,9393.111328,9178.550781,8994.583008,8832.237305,8571.213867,8173.29834,7816.771484,7516.657715,7344.192383,7294.751465,7353.851074,7683.061035,8158.734375,9073.973633,9956.754883,10423.85156,10880.24707,10952.51563,10783.43652,10741.27637,10625.77539,10514.75,10388.35742,10218.2959,10099.34863,9998.894531,9901.802734,9829.78418,9751.402344,9709.149414,9634.53125,9602.913086,9698.52832,9882.489258,10234.93457,10861.3623,11541.51758,11686.19629,11619.16602,11395.12891,11210.86328,11076.21875,10860.04688,10542.52734,10147.18848,10130.83496,9842.297852,9628.054688
