,0
2007/11/1,2.433555593
2007/11/2,6.033645667
2007/11/3,4.866749356
2007/11/4,4.707485724
2007/11/5,6.792013657
2007/11/6,4.648865159
2007/11/7,4.178197029
2007/11/8,8.82803658
2007/11/9,4.436286568
2007/11/10,3.606628897
2007/11/11,5.182739969
2007/11/12,2.148742123
2007/11/13,2.807944255
2007/11/14,2.641469544
2007/11/15,7.937641322
2007/11/16,7.169445671
2007/11/17,4.25241764
2007/11/18,1.530288622
2007/11/19,6.273129362
2007/11/20,6.158005078
2007/11/21,5.986310245
2007/11/22,17.19747061
2007/11/23,15.01635138
2007/11/24,14.65361615
2007/11/25,3.499988738
2007/11/26,3.644680726
2007/11/27,3.99257867
2007/11/28,4.332541881
2007/11/29,2.3895893
2007/11/30,2.067098408
