,0
2008/5/1,3.116558839
2008/5/2,2.907030865
2008/5/3,3.472097016
2008/5/4,2.390185499
2008/5/5,4.972850041
2008/5/6,3.37955473
2008/5/7,4.472152873
2008/5/8,3.01491849
2008/5/9,3.566824966
2008/5/10,2.781295832
2008/5/11,5.220059001
2008/5/12,11.61267519
2008/5/13,5.592999175
2008/5/14,6.073915704
2008/5/15,3.183393774
2008/5/16,2.975713961
2008/5/17,2.235196029
2008/5/18,2.280673091
2008/5/19,5.779511352
2008/5/20,6.668144458
2008/5/21,1.940703891
2008/5/22,4.802944454
2008/5/23,2.475316252
2008/5/24,2.796222306
2008/5/25,1.825459669
2008/5/26,5.881077343
2008/5/27,7.521173476
2008/5/28,3.695891218
2008/5/29,3.476179506
2008/5/30,6.396844503
2008/5/31,4.680094468
