,0
2008/6/1,4.162444087
2008/6/2,4.435212912
2008/6/3,3.315049101
2008/6/4,4.201548222
2008/6/5,14.2528498
2008/6/6,6.51334474
2008/6/7,11.90019496
2008/6/8,11.04548781
2008/6/9,12.26235312
2008/6/10,11.00495364
2008/6/11,3.276591584
2008/6/12,6.021193499
2008/6/13,3.407665667
2008/6/14,6.554358037
2008/6/15,3.994829838
2008/6/16,4.393464267
2008/6/17,3.414651712
2008/6/18,2.075136735
2008/6/19,1.785202268
2008/6/20,6.00033531
2008/6/21,6.199006963
2008/6/22,3.728370954
2008/6/23,7.592222909
2008/6/24,3.270284026
2008/6/25,7.129352059
2008/6/26,8.479215252
2008/6/27,4.052616563
2008/6/28,5.834934231
2008/6/29,4.296114107
