,0
2008/2/1,3.788833519
2008/2/2,5.110463238
2008/2/3,4.680850729
2008/2/4,5.378754862
2008/2/5,4.048048623
2008/2/6,9.437770887
2008/2/7,7.16825574
2008/2/8,6.922219594
2008/2/9,6.007118385
2008/2/10,11.16894637
2008/2/11,21.96844432
2008/2/12,7.587635244
2008/2/13,4.910857342
2008/2/14,4.694897741
2008/2/15,7.035258447
2008/2/16,3.480986452
2008/2/17,6.121186208
2008/2/18,6.033636498
2008/2/19,12.41737649
2008/2/20,9.144555479
2008/2/21,8.207613485
2008/2/22,3.695341338
2008/2/23,4.150351428
2008/2/24,3.743400828
2008/2/25,6.18343688
2008/2/26,3.479953969
2008/2/27,7.798117489
2008/2/28,11.1123298
