date,mape
2021/11/1,6.466643128
2021/11/2,1.851215518
2021/11/3,2.731044047
2021/11/4,3.717654304
2021/11/5,2.04070968
2021/11/6,3.71179519
2021/11/7,1.541660721
2021/11/8,5.629744187
2021/11/9,2.366706569
2021/11/10,1.622258596
2021/11/11,1.571439279
2021/11/12,4.053530826
2021/11/13,4.312688923
2021/11/14,3.31562152
2021/11/15,1.935525531
2021/11/16,1.940974838
2021/11/17,2.484332671
2021/11/18,5.434384448
2021/11/19,3.718384523
2021/11/20,4.07289925
2021/11/21,1.993570892
2021/11/22,6.907360005
2021/11/23,3.368532456
2021/11/24,3.128057042
2021/11/25,7.018078735
2021/11/26,6.442887129
2021/11/27,2.432111925
2021/11/28,1.872957256
2021/11/29,2.973677061
2021/11/30,1.249813739
