date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2021/11/1,63192.67969,61206.56641,59825.77734,59565.79688,59634.40625,60695.89063,64023.27734,67579.875,69718.625,71224.25,72226.03906,73097.46094,73221.76563,73369.64844,73368.42969,73421.03906,72946.83594,73624.17188,75214.29688,76247.45313,76454.25,75889.20313,73462.00781,69183.5
2021/11/2,68338.19531,65842.55469,64777.3125,63907.98047,64169.89063,65499.19141,70050.24219,76515.65625,78844.34375,78794.125,79263.85156,79020.10938,78737.35938,78401.29688,78063.47656,77831.10156,77389.07813,78022.82813,79274.54688,80339.75781,80448.39063,79216.9375,76259.92188,72171.84375
2021/11/3,69786.71094,67462.85156,66059.84375,64739.10938,65347.88672,67318.10938,70269.30469,75471.10938,78277.74219,79185.65625,80575.46875,79231.61719,78882.28125,77580.39844,77701.72656,77329.04688,76900.22656,78045.73438,79085.28125,80232.8125,79430.28906,78429.52344,76647.32813,72769.13281
2021/11/4,70406.92969,68653.26563,67982.71094,66922.0625,66575.34375,67911.67188,71148.10156,76165.75,77977.52344,79043.73438,78384.96875,78334.28125,77569.85156,76294.22656,75451.28125,75223.78906,75079.03125,75460.6875,77402.78125,78259.60156,78523.65625,77580.15625,75595.77344,72314.64844
2021/11/5,71272.00781,69677.53125,68507.07031,67833.19531,68290.5625,69854.16406,73556.21875,78409.07813,80843.40625,80567.11719,79672.10156,78958.34375,77657.125,76745.59375,76075.85156,75215.38281,74625.24219,75320.51563,76557.03125,77477.59375,78323.47656,77906.42969,75240.80469,71942
2021/11/6,70599.53125,69728.17969,68976.5625,67213.75,67498.60156,69200.60938,70268.07031,72277.73438,73908.77344,75498.19531,75034.70313,75143.625,74335.10156,73438.32813,72849.75781,72834.77344,72637.13281,73793.19531,75965.05469,78156.55469,78060.96875,76918.65625,74494.61719,72985.69531
2021/11/7,65935.17188,64077.40625,62930.4375,62793.94531,62438.61719,62508.71875,63218.38281,66341.29688,67129.53125,69515.77344,70293.58594,70519.21094,69632.67188,69104.46875,68978.29688,68567.47656,68879.72656,69346.21875,71427.98438,72856.26563,73744.00781,73074.89844,71767.05469,68929.78125
2021/11/8,65607.5625,62835.53516,61750.49609,61102.69922,61026.86328,61644.94531,64715.28516,68380.08594,69699.77344,71089.16406,71210.36719,71306.98438,70416.625,70189.5,70735.58594,70312.35938,70369.64844,71319.38281,73289.74219,75853.57031,76396,76013.41406,72188.88281,68998
2021/11/9,66480.91406,64468.84375,62191.90625,62426.98438,62029.15625,63908.60156,67602.79688,73369.33594,74747.32031,75571.07031,75297.5625,75730.07813,74905.50781,75223.36719,74728.70313,73848.39844,73831.20313,73633.70313,75618.85938,77038.78906,76185.15625,75341.05469,72316.75,69259.61719
2021/11/10,67745.34375,65034.67578,63968.28906,62642.48047,62626.37891,64335.28125,68548.17969,74039.67969,76393.01563,76579.32813,75988.69531,76520.02344,76262.79688,75735.35156,75757.39063,74588.53906,73919.97656,75058.33594,76176.98438,77380.4375,77328.70313,76383.28906,73058.52344,69453.60938
2021/11/11,66432.55469,64578.76563,63007.28125,61817.8125,62245.97266,64126.16406,67104.44531,72404.5,74957.75,75524.11719,75991.48438,76080.42969,75901.57031,75703.71094,74961.45313,75075.375,74435.08594,74977.625,76679.07031,76811.14063,76476.40625,75604.60156,73593.96094,70053.63281
2021/11/12,66602.42969,63423.29688,62603.19141,61608.74609,61434.8125,63645.40234,67097.66406,72634.875,74502.74219,76527.45313,77106.3125,76830.24219,76591.25,76971.41406,77035.71875,77068.5625,76042.375,76611.74219,77537.19531,77993.71875,77742.11719,76929.21094,74595.86719,70512.91406
2021/11/13,68115.27344,65152.84375,64648.79297,64259.25781,64156.02734,64013.40234,65942.42969,68015.03125,70613.07813,72610.64063,74313.22656,73374.86719,73344.26563,72320.57813,73983.42969,72083.61719,71231.42969,72895.71094,73423.35156,75545.35156,75282.8125,76459.1875,72516.57813,69202.02344
2021/11/14,68909.32031,67282.3125,66060.17969,65228.41016,65624.40625,65589.32031,67193.65625,69620.22656,71120.89063,73168.51563,73687.19531,73092.71875,72941.875,72372.42188,71200.17188,70743.95313,70952.84375,72237.97656,74619.23438,76679.67188,76520.59375,75771.45313,73106.28125,70502.30469
2021/11/15,70900.77344,69023.54688,68366.19531,67523.89063,68232.1875,69991,73774.26563,78631.21875,81396.30469,81427.67188,81138.375,80527.71875,79537.82031,78791.13281,78238.46094,77459.98438,77336.32813,78603.46094,81582.80469,82972.39063,82734.53906,81178.22656,78397.17188,74991.82031
2021/11/16,71349.92969,69007.72656,68057.79688,67578.75,67252.49219,69108.60156,73441.14844,78949.66406,80811.00781,81162.34375,81101.60938,80737.03906,80725.84375,79289.9375,78881.625,78534.48438,78416.17188,79389.11719,81299.58594,82920.67969,82889.39844,81372.75,78617.60938,75099.82813
2021/11/17,70195.07031,68690.0625,67019.28906,66401.375,66031.50781,68059.60156,70950.72656,76223.78906,78234.78906,78338.92188,78359.49219,78291.26563,78335.69531,77119.1875,76556.10156,75468.19531,74898.47656,75957.59375,77875.28906,79270.53906,78717.80469,77933.03906,75805.45313,72169.84375
2021/11/18,68320.95313,65846.04688,64015.96094,63603.41797,63304.08594,64262.67969,68631.24219,73348.21875,76011.90625,76422.44531,78034.89063,78020.83594,77702.57031,77545.92188,77133.80469,77164.49219,76513.71094,76759.80469,78706.17188,79231.76563,78834.6875,77412.99219,75254.22656,71676.48438
2021/11/19,72622.11719,70409.5,69243.85156,68536.6875,68603.5625,70459.03125,74910.90625,81226.1875,83671.78125,83660.64844,83516.54688,83020.33594,82317.71094,81529.97656,80849.20313,80280.32813,80050.78906,81837.79688,84890.60938,86060.42188,85578.52344,83889.5625,80835.57813,76850.72656
2021/11/20,73396.10156,71245.125,70379.28906,69792.05469,69115.45313,70092.44531,71930.08594,74045.77344,76130.625,78104.96875,79014.73438,78520.64063,77412.63281,75775.07813,75479.98438,74784.80469,75131.23438,76510.63281,79767.41406,81754.00781,80666.92969,79401.28125,77500.3125,74699.17188
2021/11/21,68984.98438,67866.61719,66489.54688,65410.98047,65788.5,65820.72656,67577.5,69159.50781,71423.03906,72727.36719,72858.97656,72904.26563,72183.82813,71516.375,70859.58594,70255.77344,70647.125,72346.11719,75333.97656,76820.14063,78193.51563,76229.44531,74581.29688,70816.02344
2021/11/22,66559.35156,65158.35156,63684.66406,64235.35938,64224.36328,65144.10938,68334.35938,73450.0625,74964.82031,76505.99219,77118.0625,78444.03906,77560.21875,77567.92969,76906.34375,76569.97656,76408.64063,78031.44531,81020.24219,81701.6875,81684.17188,80283.3125,77096.92969,74258.17969
2021/11/23,74747.66406,72010.78125,70991.6875,70172.0625,70094.875,72232.69531,76776.35156,82973.32813,85669.30469,85081.05469,84673.70313,84176.27344,82854.78125,82175.10156,81253.34375,80634.42969,80201.47656,81702.10938,85050.41406,86242.24219,85590.41406,84105.05469,80877.69531,77175.24219
2021/11/24,73327.19531,72258.07031,71724.20313,70605.55469,70024.73438,70902.45313,72882.94531,76555.14063,79023.39844,79618.78125,79412.78906,77837.41406,77867.99219,76172.73438,74833.08594,74793.91406,73750.95313,76441.21875,78702.60156,79656.63281,79658.07031,78799.67188,75746.30469,73767.4375
2021/11/25,70903.5,69200.71875,68229.25,67333.61719,67879.39844,69083.53906,72565.13281,76152.53125,78297.50781,78962.96094,79037.64844,77912.07031,77085,76346.86719,75561.82813,74952.77344,74806.28125,76780.89844,78523.20313,79216.49219,79131.09375,78685.60156,75918.45313,73027.57031
