date,mape
2021/5/1,3.779753796
2021/5/2,2.442699341
2021/5/3,2.683747744
2021/5/4,4.457897093
2021/5/5,1.623797011
2021/5/6,3.517112578
2021/5/7,1.653147756
2021/5/8,3.012690864
2021/5/9,1.483150797
2021/5/10,2.352253765
2021/5/11,1.904405823
2021/5/12,1.962522458
2021/5/13,2.831255491
2021/5/14,1.418007893
2021/5/15,4.860504883
2021/5/16,2.727551389
2021/5/17,1.305690748
2021/5/18,1.680341149
2021/5/19,2.955753632
2021/5/20,4.55798281
2021/5/21,1.158688642
2021/5/22,1.170509202
2021/5/23,2.335476756
2021/5/24,4.991889973
2021/5/25,2.056141556
2021/5/26,4.825019333
2021/5/27,2.362402563
2021/5/28,5.6347987
2021/5/29,7.558599581
2021/5/30,1.98713961
