date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2021/5/1,65522.8125,63196.19141,61600.08984,61013.39844,60570.69922,60722.16406,61787.08594,63912.19141,65565.35938,68197.61719,69415.45313,70445.97656,70211.80469,70183.03906,69576.15625,69666.40625,69752.21875,70514.51563,72101.95313,72913.39844,73858.19531,73302.89063,71277.10156,68115.04688
2021/5/2,61824.86719,60022,57881.85938,56847.94922,56429.15625,55881.19922,57885.66797,58987.79688,59706.44531,62679.00781,64760.47656,66293.125,67169.27344,67182.50781,68546.8125,67810.4375,69041.11719,70342.5625,71458,70845.5,71522.51563,72039.41406,69539.9375,66227.05469
2021/5/3,63485.33984,60630.13672,59493.69531,58467.40625,58744.35156,59749.08984,64291.17188,69163.5,72024.46875,74549.78125,75660.32031,76640.89844,77103.42969,78239.14844,78755.82813,78858.4375,78082.57031,78842.60156,78942.75,79617.79688,78631,78760.34375,75334.95313,71158.00781
2021/5/4,68989.28125,65361.93359,62836.60547,62971.33594,60888.08594,61659.42188,65916.00781,72543.95313,74443.85938,76563.67188,78136.6875,79201.76563,81072.77344,81698.375,83133.27344,83125.25,83088.78906,83143.5625,83279.01563,82141.5625,82106.14844,81124.24219,78391.60938,73639.46875
2021/5/5,66582.5625,63810.71875,62349.64453,61271.02734,60971.34375,62682.94141,65044.38672,68778.5625,71515.89063,72810.60156,73678.17969,74921.71875,74469.11719,74616.75781,74574.84375,74237.75,73774.27344,74255.69531,73785.73438,73673.82031,73987.5625,74556.75781,72718.78906,69005.22656
2021/5/6,64487.75391,62361.55859,60278.53125,60081.31641,59731.67578,59581.54688,62430.77344,64241.38281,66101.86719,68631.99219,69938.20313,70103.35938,70244.19531,70519.6875,71387.02344,70143.53906,71431.09375,72207.67969,73528.71875,73679.99219,74856.95313,73385.28906,69872.90625,67542.26563
2021/5/7,64092.45313,62965.42188,61156.60547,60290.36719,60517.60547,60425.33203,63637.83594,67825.0625,70045.34375,71462.79688,72237.60938,72570.80469,73906.79688,74455.86719,74599.49219,73232.57031,74199.89063,74136.65625,74194.0625,74040.82031,74091.69531,74380.08594,71446.22656,68005.80469
2021/5/8,63552.05469,61957.27734,61184.88281,60150.51953,59118.41016,60198.72656,60120.375,61382.27344,63826.68359,66304.17188,68076.42188,69481.67969,69789.67969,69024.25781,70313.6875,68790.67969,69535.55469,70393.28125,71954.02344,72379.21094,73970.49219,73691.67969,70907.78125,67084.625
2021/5/9,61677.74219,59877.09375,58235.8125,57187.01953,56997.50781,57129.96484,57522.40234,58373.67578,60475.61719,62586.33984,64501.49219,65701.42188,66667.57813,66981.6875,67490.48438,67416.46875,68062.46094,68729.66406,69765.29688,70356.64063,70684.96875,71177.67188,68907.33594,65557.25781
2021/5/10,63740.99219,59576.79688,59457.03125,57941.10547,58794.25781,61533.625,64656.52734,71318.94531,72974.41406,73520.02344,73709.10938,76163.375,77425.54688,75322.35938,77379.3125,77221.875,76083.92969,76843.38281,79038.08594,78526.90625,77290.83594,77861.625,74567,68814.49219
2021/5/11,66175.9375,63424.91406,62320.83203,61546.31641,61299.76953,61853.40234,66057.64063,71386.14844,74624.73438,74985.89844,75484.3125,76322.73438,76525.32813,76248.88281,76374.57813,76173.29688,76094.99219,75945.50781,75417.21094,76034.63281,76426.07031,76957.98438,73844.69531,70137.99219
2021/5/12,65367.93359,63389.80859,62815.66406,61169.45703,61144.59766,62286.69141,64497.34375,67593.82813,69611.73438,71165.44531,72135.79688,72001.61719,72135.78125,71768.79688,71558.16406,71334.50781,71106.03125,71631.23438,72442.28906,72647.28906,73036.14063,72560.70313,69868.33594,67407.85156
2021/5/13,65029.05469,63093.95703,62036.49609,60742.02734,61054.29688,61265.61719,63512.21094,66277.53906,68862.17969,71190.28906,71986.76563,71876.98438,71988.1875,71718.11719,70828.11719,71024.125,70639.23438,70924.28906,72204.25,72829.01563,73497.21094,72523.80469,70876.51563,67629.5625
2021/5/14,64895.07422,63392.49219,61576.90625,60709.60156,60940.23047,60945.43359,64178.75,68169.52344,70468.9375,71738.86719,72779.75,73428.49219,74083.71094,73564.34375,73927.38281,73419.99219,73054.75781,73244.19531,74436.53125,74520,73935.59375,73201.92188,71303.83594,67597.35156
2021/5/15,65167.54688,63153.67969,61020.42188,59658.24609,59692.99219,60302.25391,61165.76563,62944.42578,64408.59375,66815.64844,69035.21875,69962.46094,70535.80469,69368.27344,70459.10938,69932.5625,71042.25,71125.88281,73234.85938,74045.17188,74373.66406,73588.6875,71836.63281,68930.36719
2021/5/16,62531.41016,59676.09766,58035.25781,57261.96875,56964.77734,56739.40625,57401.71484,58483.71094,60586.52734,62768.86328,65171.89063,66146.70313,66931.5,66838.26563,67300.65625,67530.70313,67555,69125.64844,70055.625,70175.38281,70287.79688,71143.75781,69209.65625,65152.64844
2021/5/17,62295.64453,60661.54297,59203.53906,58148.82813,58574.74609,60199.97266,63562.9375,68755.79688,71564.66406,73324.29688,73936.51563,75709.80469,76813.14063,77072.79688,77704.53906,77094.35938,76599.21094,77227.08594,78180.11719,78470.03906,78211.3125,77708.05469,74763.21094,69871.67188
2021/5/18,66086.02344,63378.07031,61975.75391,61365.86719,60883.39453,61596.82813,64996.90625,70425.9375,73349.6875,74680.10156,75979.26563,77339.46094,77127.0625,78251.05469,78586.13281,79005.07031,78905.01563,78369.29688,78698.53906,78331.28906,77884.05469,78857.57031,76354.88281,71283.36719
2021/5/19,68449.01563,63335.21094,62491.38672,61494.69141,61440.30469,62492.81641,65614.28125,70064.28906,74611.02344,74831.02344,76208.89844,78841.9375,79864.17188,79274.91406,81658.96875,80695.17188,81183.99219,81323.67969,81869.63281,80293.26563,81429.17188,78055.53125,76522.34375,72399.10938
2021/5/20,69527.82031,66551.34375,64923.65234,63109.87891,62529.64844,63364.79297,66559.84375,71937.82031,74875.60156,75787.88281,78018.98438,80063.82031,81596.26563,82489.89844,83271.9375,85348.11719,84526.38281,85265.73438,84745.375,84693.28125,83946.91406,82030.91406,79085.27344,73827.39844
