date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2021/8/1,83842.25,79822.03125,75035.28906,73025.51563,72164.11719,69946.73438,70432.59375,71765.92969,74890.75781,80065.91406,85159.47656,91247.96875,94717.71875,98001.01563,100364.4453,103060.1563,104472.6953,104896.4531,104609.5,103520.7109,99457.35938,96853.07031,93183.82813,88598.92969
2021/8/2,76324.92188,72993.92188,69245.53125,66911.94531,67341.54688,65218.51172,67432.36719,69089.42969,72544.52344,75788.24219,80275.8125,85510.05469,88118.85938,92569.35938,94370.82813,95719.21875,97246.54688,98030.16406,98204.11719,96389.89844,95423.05469,93821.08594,88094.83594,82830.03125
2021/8/3,78038.875,73867.75781,71075.86719,68732.67188,67942.53125,67924.85938,70217.22656,74644.75,77175.375,80843.02344,84250.17188,88270.90625,91864.10156,94760.8125,96951.92188,98961.83594,99609.08594,99786.72656,98862.92969,97155.92969,94415.27344,92364.30469,88372.84375,83254.46875
2021/8/4,80250.96875,76134.03125,72752.57813,70426.375,69587.29688,70122.34375,72557.39844,75961.85156,79169.48438,82992.35938,87038.63281,91541.42188,95198.78125,98468.70313,101168.2891,103270.6953,103952.6719,104726.5391,103322.9531,100715.9922,98109.10156,95417.10156,91465.91406,85866.07031
2021/8/5,82019.65625,77520.75,74355.40625,71861.05469,70943.42188,71398.05469,73044.64063,75885.09375,78812.89063,83877.98438,88519.61719,93446.22656,97840.00781,101803.7188,104538.0625,106686.3438,107958.8203,108352.3984,107328.3906,105333.3984,101915.1719,98984.94531,94664.39844,89384.42188
2021/8/6,83548.01563,78849.8125,75346.35156,72822.04688,71076.32813,71250.92188,72755.64063,74814.49219,78493.03125,82859.17188,87772.375,92978.42969,97710.14844,101349.6016,104395.7344,106338.3281,107699.0156,108134.2578,107576.8906,105078.5781,101895.3828,99261.58594,95027.89063,89228.72656
2021/8/7,83074.30469,78074.24219,74954.65625,71504.75781,69952.76563,69736.24219,70057.21094,70409.28125,73013.03125,78871.92969,84739.17969,89795.63281,93926.00781,98069.11719,101310.9141,102973.8594,104160.1563,105494.3906,104753.7344,102572.6172,99333.33594,97631.39844,93286.88281,88193.4375
2021/8/8,82904.76563,78114.58594,74808.55469,71661.39844,70052.96875,69136.59375,70166.57813,68611.55469,72282.55469,77631.32031,83600.875,88983.95313,94110.02344,97571.03125,100300.2109,103067.6016,104450.2422,105029.3828,105171.6875,102937.2422,100486.4063,97336.0625,93618.71094,88135.39063
2021/8/9,86718.71875,82206.40625,76628.65625,75400.39063,73200.30469,72893.00781,73739.10938,76016.40625,79673.09375,85163.33594,90385.27344,96919.63281,101702.6172,106289.1172,108967.4766,111496.6797,112733.2344,112691.7969,112492.0938,109537.8203,106569.0547,102881.3281,98395.75,92869.6875
2021/8/10,89947.99219,84237.60938,79724.25,76922.89063,76169.4375,76583.39844,79321.64844,83471.8125,88266.29688,92479.03125,97160.91406,100816.7422,106737.3047,110347.2891,113336.8594,114602.3438,115974.3281,114469.6484,114927.1641,110354.8359,107014.8516,104597.8906,100977.3906,94364.27344
2021/8/11,93454.17188,88242.05469,84015.125,80752.23438,79043.96875,79781.35156,82003.22656,84754.54688,89372.16406,94397.21875,100108.9922,105390.3438,110876.0781,113853.1094,117121.9766,119076.3984,119924.6797,119308.9844,117591.4609,115651.9453,111517.7891,108489.7188,104709.1406,97653.72656
2021/8/12,91211.61719,85110.85938,82389.96875,79006.35938,77431.71875,77697.57813,79711.29688,83367.13281,87385.53906,92381.39063,97754.11719,102999.1484,106918.1484,110340.7109,113388.4531,114591.1094,115276.5391,115397.5,114076.875,111669.5938,107318.7578,104824.1328,100189.9766,94331.28906
2021/8/13,89160.15625,82882.17188,78942.08594,76762.71875,75320.03906,75521.61719,78014.55469,81234.26563,86090.82031,89460.97656,93701.78125,98760.09375,102674.7656,106127.1563,108530.4141,110088.8906,110732.1172,111252.3984,109950.8594,107416.8359,103895.4922,101762.75,97827.78125,91149.67969
2021/8/14,84500.92969,79369.34375,74580.04688,72309.60156,71255.61719,70871.07031,70992.35938,71109.61719,74164.82813,79408.03125,84574.95313,90536.52344,94041.125,97119.92969,100104.6016,102497.4609,102944.4297,104025.6172,104588.0547,102049.8828,98422.27344,95927.20313,92699.02344,86974.61719
2021/8/15,79138.28906,74694.75,71870.25781,69056.375,68247.35156,66388.40625,67449.28125,66274.86719,69852.91406,75329.20313,79240.5625,84668.17969,89207.9375,91610.25,95449.75,95893.94531,97956.875,97788.90625,99938.79688,97353.85938,95747.21094,93397.46094,90273.64844,85408.14063
2021/8/16,76621.46875,72158.14844,69429.1875,67158.34375,66433.45313,67007.64844,68012.33594,71317.59375,73253.82031,77997.59375,82866.53906,86269.38281,90020.42969,93574.57813,96795.4375,97876.99219,99659.46875,100666.25,100450.5859,98233.0625,96676.96875,93828.90625,90150.36719,84579.59375
2021/8/17,81809.30469,77405.9375,74399.25781,71587.15625,70341.67969,70976.34375,73707.01563,77833.47656,80389.21094,84721.97656,89491.38281,94222.52344,98403.5625,101691.0469,104772.3906,106604.9844,106781.1719,107724.9844,106672.1094,104262.1484,101548.9688,98043.25781,93880.07813,88236.71094
2021/8/18,86970.58594,82050.05469,78916.3125,75930.92969,74120.57813,74280.66406,76654.85156,79855.1875,84123.72656,88823.46875,94186.0625,99044.85156,103391.0156,106972.5391,110170.3203,111714.4297,112792.375,113328.8594,112213.6719,110015.0703,106574.7031,103145.0625,99927.67188,93305.78125
2021/8/19,89939.97656,83930.14844,79855.10938,76941.21875,76341.80469,76346.21094,79107.5625,81902.0625,86556.4375,91163.17969,95663.80469,101130.6016,105315.1953,109743.4219,112880.3281,114101.6016,115155.4297,115750.25,113564.3125,111927.8594,108236.6719,104638.0469,100974.3828,94597.91406
2021/8/20,90396.33594,84928.89063,80733.5,77919.24219,76969.67188,76901.875,79823.54688,83002.73438,87274.24219,92486.70313,97166.39063,102613.3047,106867.9688,110065.6563,113171.7422,115509.7891,116062.5859,116341.4531,114974.7344,112210.5078,108534.8828,105296.9609,101311.8359,94738.91406
