date,hour,load
1/1/2006,0.5,8013.27833
1/1/2006,1,7726.89167
1/1/2006,1.5,7372.85833
1/1/2006,2,7071.83333
1/1/2006,2.5,6865.44
1/1/2006,3,6685.92667
1/1/2006,3.5,6548.62833
1/1/2006,4,6487.83667
1/1/2006,4.5,6449.17833
1/1/2006,5,6388.27833
1/1/2006,5.5,6395.48
1/1/2006,6,6494.33333
1/1/2006,6.5,6715.20167
1/1/2006,7,7062.48
1/1/2006,7.5,7532.11667
1/1/2006,8,8037.86833
1/1/2006,8.5,8623.735
1/1/2006,9,9169.365
1/1/2006,9.5,9600.79
1/1/2006,10,10005.305
1/1/2006,10.5,10264.63167
1/1/2006,11,10463.60333
1/1/2006,11.5,10647.80833
1/1/2006,12,10682.93667
1/1/2006,12.5,10787.545
1/1/2006,13,10842.33167
1/1/2006,13.5,10907.03
1/1/2006,14,10859.58833
1/1/2006,14.5,10903.85167
1/1/2006,15,10900.735
1/1/2006,15.5,10952.31
1/1/2006,16,10948.03167
1/1/2006,16.5,10904.45333
1/1/2006,17,10997.89667
1/1/2006,17.5,11026.05
1/1/2006,18,11009.98667
1/1/2006,18.5,10923.48667
1/1/2006,19,10894.9
1/1/2006,19.5,10952.21833
1/1/2006,20,11112.76333
1/1/2006,20.5,10821.02
1/1/2006,21,10247.085
1/1/2006,21.5,9842.20667
1/1/2006,22,9345.815
1/1/2006,22.5,8924.16
1/1/2006,23,8416.87333
1/1/2006,23.5,8044.81833
1/2/2006,0,7737.02833
1/2/2006,0.5,7378.52333
1/2/2006,1,7146.215
1/2/2006,1.5,6852.245
1/2/2006,2,6643.685
1/2/2006,2.5,6529.54833
1/2/2006,3,6448.595
1/2/2006,3.5,6375.28833
1/2/2006,4,6364.80333
1/2/2006,4.5,6423.77333
1/2/2006,5,6427.65333
1/2/2006,5.5,6568.18833
1/2/2006,6,6636.45667
1/2/2006,6.5,6802.52833
1/2/2006,7,6990.35833
1/2/2006,7.5,7159.07
1/2/2006,8,7482.43833
1/2/2006,8.5,7721.50833
1/2/2006,9,8007.92
1/2/2006,9.5,8194.55833
1/2/2006,10,8287.84
1/2/2006,10.5,8354.12167
1/2/2006,11,8398.81333
1/2/2006,11.5,8348.86
1/2/2006,12,8341.38667
1/2/2006,12.5,8324.505
1/2/2006,13,8322.00667
1/2/2006,13.5,8303.15167
1/2/2006,14,8314.05333
1/2/2006,14.5,8319.595
1/2/2006,15,8327.145
1/2/2006,15.5,8328.98
1/2/2006,16,8351.05
1/2/2006,16.5,8389.24
1/2/2006,17,8456.72833
1/2/2006,17.5,8353.72333
1/2/2006,18,8334.12667
1/2/2006,18.5,8191.81
1/2/2006,19,8087.22333
1/2/2006,19.5,8056.53667
1/2/2006,20,8280.22
1/2/2006,20.5,8096.09333
1/2/2006,21,7884.9
1/2/2006,21.5,7911.675
1/2/2006,22,7816.335
1/2/2006,22.5,7808.34833
1/2/2006,23,7632.93667
1/2/2006,23.5,7429.40333
1/3/2006,0,7254.75333
1/3/2006,0.5,7069.56833
1/3/2006,1,6853.235
1/3/2006,1.5,6521.88
1/3/2006,2,6255.02833
1/3/2006,2.5,6090.655
1/3/2006,3,6046.28333
1/3/2006,3.5,6035.49833
1/3/2006,4,6040.67667
1/3/2006,4.5,6143.955
1/3/2006,5,6316.1
1/3/2006,5.5,6706.71667
1/3/2006,6,7114.53
1/3/2006,6.5,7488.11833
1/3/2006,7,7939.335
1/3/2006,7.5,8431.57333
1/3/2006,8,8885.89667
1/3/2006,8.5,9354.92167
1/3/2006,9,9577.29
1/3/2006,9.5,9787.94
1/3/2006,10,9957.565
1/3/2006,10.5,10097.47167
1/3/2006,11,10197.69167
1/3/2006,11.5,10313.15
1/3/2006,12,10326.965
1/3/2006,12.5,10441.28333
1/3/2006,13,10536.01167
1/3/2006,13.5,10658.27
1/3/2006,14,10674.235
1/3/2006,14.5,10647.035
1/3/2006,15,10671.07667
1/3/2006,15.5,10642.90167
1/3/2006,16,10606.66833
1/3/2006,16.5,10439.75333
1/3/2006,17,10246.81
1/3/2006,17.5,9837.41167
1/3/2006,18,9631.52333
1/3/2006,18.5,9280.94667
1/3/2006,19,8988.575
1/3/2006,19.5,8951.84167
1/3/2006,20,8967.45667
1/3/2006,20.5,8740.82667
1/3/2006,21,8452.16833
1/3/2006,21.5,8436.54167
1/3/2006,22,8259.34667
1/3/2006,22.5,8184.60333
1/3/2006,23,8010.57667
1/3/2006,23.5,7780.86167
1/4/2006,0,7526.44167
1/4/2006,0.5,7340.255
1/4/2006,1,7113.48333
1/4/2006,1.5,6772.77
1/4/2006,2,6490.73167
1/4/2006,2.5,6332.30333
1/4/2006,3,6252.63333
1/4/2006,3.5,6232.96667
1/4/2006,4,6250.015
1/4/2006,4.5,6422.30833
1/4/2006,5,6609.35667
1/4/2006,5.5,6995.36333
1/4/2006,6,7333.25833
1/4/2006,6.5,7638.99833
1/4/2006,7,8009.26167
1/4/2006,7.5,8336.075
1/4/2006,8,8615.20333
1/4/2006,8.5,8957.15333
1/4/2006,9,9037.27667
1/4/2006,9.5,9102.865
1/4/2006,10,9115.16167
1/4/2006,10.5,9092.605
1/4/2006,11,9065.49667
1/4/2006,11.5,8938.875
1/4/2006,12,8949.79
1/4/2006,12.5,9016.86833
1/4/2006,13,8940.05667
1/4/2006,13.5,8884.26667
1/4/2006,14,8863.56167
1/4/2006,14.5,8838.27167
1/4/2006,15,8890.97333
1/4/2006,15.5,8917.07667
1/4/2006,16,8864.67667
1/4/2006,16.5,8871.46167
1/4/2006,17,8787.24833
1/4/2006,17.5,8569.93833
1/4/2006,18,8497.72167
1/4/2006,18.5,8284.92167
1/4/2006,19,8122.15333
1/4/2006,19.5,8243.82333
1/4/2006,20,8328.74
1/4/2006,20.5,8165.08667
1/4/2006,21,7936.01667
1/4/2006,21.5,8035.38333
1/4/2006,22,7928.495
1/4/2006,22.5,7931.40167
1/4/2006,23,7812.46667
1/4/2006,23.5,7629.6
1/5/2006,0,7467.54167
1/5/2006,0.5,7270.78833
1/5/2006,1,7066.65333
1/5/2006,1.5,6712.65667
1/5/2006,2,6408.31
1/5/2006,2.5,6189.755
1/5/2006,3,6086.95833
1/5/2006,3.5,6062.905
1/5/2006,4,6095.85667
1/5/2006,4.5,6240.735
1/5/2006,5,6446.30333
1/5/2006,5.5,6835.52333
1/5/2006,6,7209.67833
1/5/2006,6.5,7556.89833
1/5/2006,7,7944.99667
1/5/2006,7.5,8279.40167
1/5/2006,8,8449.71667
1/5/2006,8.5,8836.89667
1/5/2006,9,9030.35333
1/5/2006,9.5,9089.92667
1/5/2006,10,9145.73833
1/5/2006,10.5,9141.73833
1/5/2006,11,9103.31333
1/5/2006,11.5,9081.44
1/5/2006,12,9034.89667
1/5/2006,12.5,9059.28333
1/5/2006,13,9018.345
1/5/2006,13.5,8929.175
1/5/2006,14,8952.62167
1/5/2006,14.5,8909.26833
1/5/2006,15,8913.96
1/5/2006,15.5,8908.565
1/5/2006,16,8983.31167
1/5/2006,16.5,9001.805
1/5/2006,17,9044.885
1/5/2006,17.5,8876.29833
1/5/2006,18,8771.89167
1/5/2006,18.5,8593.185
1/5/2006,19,8478.74
1/5/2006,19.5,8480.69333
1/5/2006,20,8542.62333
1/5/2006,20.5,8241.53833
1/5/2006,21,8009.84333
1/5/2006,21.5,8074.20167
1/5/2006,22,7824.55833
1/5/2006,22.5,7955.73833
1/5/2006,23,7842.08167
1/5/2006,23.5,7728.87333
1/6/2006,0,7536.12333
1/6/2006,0.5,7351.495
1/6/2006,1,7075.27167
1/6/2006,1.5,6745.605
